id,location,city,latitude,longitude,road_type,lighting_score,crowd_density_score,police_presence_score,cctv_coverage_score,historical_crime_count,emergency_access_score,crime_type,risk_score,risk_level,safe_route_score,safe_route_path,voice_detected,voice_phrase,voice_event_type,recommended_action
334,"Market Road, Delhi",Delhi,28.637708,77.141214,Market Road,1,2,5,3,24,7,None,47.0,Medium,54.59,"28.635512,77.141464 -> 28.63891,77.144956 -> 28.636471,77.13997 -> 28.640582,77.141955 -> 28.640877,77.141936 -> 28.634815,77.137881 -> 28.633829,77.142869",True,mom,Relative,Notify selected relative
335,"Railway Station Road, Chennai",Chennai,13.124301,80.335428,Railway Station Road,4,2,0,6,73,9,None,51.61,Medium,60.0,"13.127208,80.333978 -> 13.12141,80.337553 -> 13.125345,80.335697 -> 13.125269,80.336236 -> 13.127511,80.338665 -> 13.125662,80.337543",True,help me,Help,Trigger emergency alert and share location
336,"Park Road, Visakhapatnam",Visakhapatnam,17.704792,83.202359,Park Road,2,5,10,10,76,8,None,35.27,Medium,82.11,"17.701306,83.204994 -> 17.701806,83.203074 -> 17.702679,83.203742 -> 17.704707,83.198372",True,help,Help,Trigger emergency alert and share location
337,"Railway Station Road, Vijayawada",Vijayawada,16.520924,80.627773,Railway Station Road,2,8,1,4,100,7,Sexual Harassment,53.64,Medium,55.67,"16.520927,80.628762 -> 16.51853,80.6263 -> 16.519777,80.629915 -> 16.525117,80.62576 -> 16.523616,80.622349 -> 16.517939,80.625376",True,call my sister,Relative,Notify selected relative
338,"Residential Street, Chennai",Chennai,13.035362,80.215274,Residential Street,9,7,2,5,48,6,None,32.64,Medium,81.13,"13.034827,80.216223 -> 13.037088,80.215938 -> 13.037006,80.2151 -> 13.032395,80.217919",True,call my sister,Relative,Notify selected relative
339,"Industrial Road, Mumbai",Mumbai,19.055381,72.844954,Industrial Road,5,4,4,9,7,3,Stalking,33.84,Medium,77.57,"19.053099,72.84391 -> 19.056241,72.845825 -> 19.053136,72.843735",True,help,Help,Trigger emergency alert and share location
340,"Bus Stop Area, Delhi",Delhi,28.651502,77.226374,Bus Stop Area,9,1,6,8,53,9,Sexual Harassment,30.7,Medium,95.47,"28.654452,77.229235 -> 28.648032,77.228284 -> 28.651369,77.224997 -> 28.651922,77.228737 -> 28.652754,77.224178 -> 28.653358,77.22478",True,dad,Relative,Notify selected relative
341,"Railway Station Road, Mumbai",Mumbai,19.083584,72.867083,Railway Station Road,2,7,0,8,73,9,None,46.61,Medium,59.49,"19.0855,72.864483 -> 19.088447,72.86253 -> 19.08209,72.868009 -> 19.085045,72.866832 -> 19.083441,72.868109 -> 19.083006,72.870566 -> 19.085682,72.869265",True,dad,Relative,Notify selected relative
342,"Market Road, Mumbai",Mumbai,19.042185,72.874921,Market Road,3,4,3,2,5,7,None,41.25,Medium,62.55,"19.039671,72.875821 -> 19.040841,72.87656 -> 19.03951,72.879219",True,call my father,Relative,Notify selected relative
343,"Railway Station Road, Vijayawada",Vijayawada,16.474828,80.655676,Railway Station Road,6,2,1,6,71,7,Sexual Harassment,48.11,Medium,65.35,"16.473401,80.657807 -> 16.471755,80.659306 -> 16.474863,80.654185 -> 16.47408,80.657698 -> 16.473367,80.653803 -> 16.474274,80.652734 -> 16.479379,80.65426",True,call my mother,Relative,Notify selected relative
344,"Main Road, Mumbai",Mumbai,19.105107,72.885031,Main Road,10,10,8,6,14,7,Theft,11.32,Low,99.96,"19.105092,72.886991 -> 19.104636,72.888014 -> 19.107661,72.887328 -> 19.103958,72.882331",True,help me,Help,Trigger emergency alert and share location
345,"Residential Street, Hyderabad",Hyderabad,17.363524,78.493568,Residential Street,10,2,4,8,44,7,Stalking,30.64,Medium,87.69,"17.358095,78.493548 -> 17.363919,78.492874 -> 17.366752,78.494622 -> 17.366799,78.493028 -> 17.365868,78.497656",True,call my father,Relative,Notify selected relative
346,"Main Road, Mumbai",Mumbai,19.121909,72.839475,Main Road,3,5,6,2,79,10,Harassment,44.84,Medium,60.69,"19.121046,72.840698 -> 19.123625,72.837378 -> 19.122079,72.834425 -> 19.125514,72.838194 -> 19.122049,72.838701 -> 19.124774,72.832381",False,none,No Alert,No action
347,"Bus Stop Area, Pune",Pune,18.519819,73.852996,Bus Stop Area,1,8,4,5,2,6,None,35.77,Medium,68.26,"18.524135,73.850778 -> 18.521748,73.853887 -> 18.522973,73.851328 -> 18.517987,73.855736 -> 18.520882,73.849134",True,call police,Emergency,Trigger emergency alert and share location
348,"Residential Street, Mumbai",Mumbai,19.057124,72.891223,Residential Street,4,3,4,7,99,6,Theft,50.75,Medium,63.54,"19.055426,72.883937 -> 19.058432,72.888172 -> 19.052081,72.884142 -> 19.059159,72.891545 -> 19.05656,72.894696",True,call my father,Relative,Notify selected relative
349,"Bus Stop Area, Hyderabad",Hyderabad,17.407306,78.543271,Bus Stop Area,8,4,6,7,97,9,Theft,36.34,Medium,71.0,"17.40722,78.539229 -> 17.406733,78.542649 -> 17.408873,78.543385 -> 17.408865,78.54503 -> 17.412693,78.542483",False,none,No Alert,No action
350,"Residential Street, Vijayawada",Vijayawada,16.473264,80.656613,Residential Street,5,9,6,2,99,9,None,39.84,Medium,64.55,"16.476969,80.655905 -> 16.47185,80.655435 -> 16.47506,80.656219 -> 16.47166,80.660776 -> 16.471124,80.656702 -> 16.474895,80.652535 -> 16.474465,80.653975",False,none,No Alert,No action
351,"Main Road, Bengaluru",Bengaluru,13.000397,77.560907,Main Road,4,1,7,0,46,4,Robbery,49.14,Medium,61.03,"13.003162,77.563061 -> 13.001025,77.560329 -> 12.998956,77.564585 -> 12.998648,77.558314 -> 13.00206,77.558917",True,call my mother,Relative,Notify selected relative
352,"Residential Street, Delhi",Delhi,28.580648,77.158474,Residential Street,1,4,5,7,76,8,Theft,48.0,Medium,57.79,"28.580441,77.159082 -> 28.583026,77.159791 -> 28.580171,77.157979 -> 28.581923,77.161655",True,call my sister,Relative,Notify selected relative
353,"College Road, Pune",Pune,18.524821,73.84028,College Road,3,5,1,4,3,7,Sexual Harassment,40.48,Medium,60.26,"18.521208,73.841946 -> 18.526266,73.841723 -> 18.524499,73.843797",True,help me,Help,Trigger emergency alert and share location
354,"Bus Stop Area, Bengaluru",Bengaluru,12.954656,77.628034,Bus Stop Area,4,4,4,10,52,9,Harassment,36.45,Medium,75.55,"12.953135,77.629515 -> 12.95568,77.628926 -> 12.954859,77.627939",False,none,No Alert,No action
355,"Market Road, Vijayawada",Vijayawada,16.589793,80.689449,Market Road,10,1,3,4,77,5,Sexual Harassment,44.07,Medium,71.85,"16.590072,80.691967 -> 16.591088,80.689515 -> 16.589034,80.689247 -> 16.581867,80.689976 -> 16.588572,80.693431",True,call my father,Relative,Notify selected relative
356,"Industrial Road, Pune",Pune,18.521077,73.815086,Industrial Road,5,4,7,4,86,9,Theft,41.41,Medium,68.64,"18.518462,73.81627 -> 18.521804,73.817481 -> 18.5191,73.815171 -> 18.517664,73.81684 -> 18.522374,73.816326 -> 18.521081,73.816123 -> 18.525088,73.814373",True,call my father,Relative,Notify selected relative
357,"College Road, Visakhapatnam",Visakhapatnam,17.691653,83.180486,College Road,9,10,9,4,38,2,None,21.95,Low,88.2,"17.691898,83.183246 -> 17.691012,83.179896 -> 17.690636,83.179149 -> 17.69239,83.176743 -> 17.694855,83.178822 -> 17.693458,83.177311",True,help,Help,Trigger emergency alert and share location
358,"College Road, Chennai",Chennai,13.106109,80.294218,College Road,5,5,10,10,38,4,Assault,27.41,Low,90.51,"13.103623,80.294842 -> 13.103151,80.293586 -> 13.108683,80.29621 -> 13.106147,80.291781",True,mom,Relative,Notify selected relative
359,"Park Road, Visakhapatnam",Visakhapatnam,17.709396,83.219178,Park Road,6,3,0,10,63,5,Harassment,45.02,Medium,55.18,"17.711353,83.219117 -> 17.712402,83.21644 -> 17.701454,83.219876 -> 17.710125,83.214951 -> 17.70695,83.226066",True,call my father,Relative,Notify selected relative
360,"Bus Stop Area, Visakhapatnam",Visakhapatnam,17.676104,83.244084,Bus Stop Area,6,4,10,8,81,8,None,31.98,Medium,80.17,"17.670878,83.243658 -> 17.67544,83.243084 -> 17.675817,83.244745 -> 17.675729,83.240924 -> 17.677319,83.239211",True,mom,Relative,Notify selected relative
361,"Market Road, Vijayawada",Vijayawada,16.434437,80.673871,Market Road,5,2,7,2,94,5,Abduction,50.86,Medium,60.57,"16.434294,80.670382 -> 16.432667,80.673214 -> 16.430447,80.672023 -> 16.436068,80.677439 -> 16.433388,80.675762 -> 16.429652,80.67552 -> 16.432427,80.674639",True,help me,Help,Trigger emergency alert and share location
362,"Residential Street, Pune",Pune,18.511729,73.902914,Residential Street,4,6,3,4,53,6,Theft,43.43,Medium,59.7,"18.513298,73.902215 -> 18.511333,73.902454 -> 18.509615,73.902879 -> 18.511572,73.903517 -> 18.51194,73.904909",True,call police,Emergency,Trigger emergency alert and share location
363,"Residential Street, Mumbai",Mumbai,19.108323,72.840928,Residential Street,8,1,10,9,74,10,Sexual Harassment,28.59,Low,93.45,"19.105357,72.842398 -> 19.109872,72.83615 -> 19.108555,72.839757",True,call my sister,Relative,Notify selected relative
364,"Park Road, Hyderabad",Hyderabad,17.358443,78.53398,Park Road,9,5,6,0,19,3,Harassment,32.57,Medium,74.36,"17.356427,78.534169 -> 17.360157,78.533626 -> 17.361359,78.535307 -> 17.352997,78.532656",True,call my mother,Relative,Notify selected relative
365,"Market Road, Mumbai",Mumbai,19.056336,72.894478,Market Road,6,3,1,7,42,3,None,44.86,Medium,52.21,"19.062709,72.895806 -> 19.056708,72.897432 -> 19.062195,72.896655 -> 19.058708,72.894805 -> 19.055982,72.893289",False,none,No Alert,No action
366,"Bus Stop Area, Chennai",Chennai,13.053786,80.246655,Bus Stop Area,3,10,2,7,100,2,Harassment,49.55,Medium,52.0,"13.053596,80.242443 -> 13.054263,80.246564 -> 13.054153,80.24535 -> 13.061478,80.250055",True,dad,Relative,Notify selected relative
367,"Park Road, Delhi",Delhi,28.570341,77.21715,Park Road,7,8,6,0,4,9,Abduction,24.27,Low,81.29,"28.567805,77.2138 -> 28.571422,77.215447 -> 28.572761,77.219634 -> 28.573776,77.215019",True,call my mother,Relative,Notify selected relative
368,"Bus Stop Area, Pune",Pune,18.537038,73.878836,Bus Stop Area,1,1,10,3,28,6,None,43.09,Medium,62.44,"18.535109,73.88286 -> 18.537607,73.880426 -> 18.534983,73.875788 -> 18.535614,73.878526 -> 18.534377,73.878811",True,help me,Help,Trigger emergency alert and share location
369,"Market Road, Chennai",Chennai,13.023602,80.231498,Market Road,2,1,4,4,58,9,None,50.59,Medium,59.16,"13.025111,80.230518 -> 13.021058,80.228929 -> 13.022669,80.233109 -> 13.025923,80.230257 -> 13.020718,80.232168 -> 13.021543,80.230202 -> 13.026915,80.233566",True,mom,Relative,Notify selected relative
370,"College Road, Vijayawada",Vijayawada,16.511729,80.603483,College Road,8,6,3,2,51,1,Assault,42.2,Medium,68.15,"16.514386,80.602544 -> 16.515107,80.606715 -> 16.515888,80.604246 -> 16.513197,80.607018",True,save me,Help,Trigger emergency alert and share location
371,"Bus Stop Area, Vijayawada",Vijayawada,16.521859,80.630457,Bus Stop Area,1,10,8,2,15,6,Sexual Harassment,32.39,Medium,71.57,"16.522455,80.627231 -> 16.521501,80.633198 -> 16.516381,80.634293",True,call my father,Relative,Notify selected relative
372,"Main Road, Chennai",Chennai,13.121983,80.254608,Main Road,10,1,10,1,83,1,Harassment,41.84,Medium,74.58,"13.121991,80.257683 -> 13.12444,80.251108 -> 13.123451,80.254094",True,help,Help,Trigger emergency alert and share location
373,"Residential Street, Delhi",Delhi,28.616799,77.183514,Residential Street,9,5,7,2,26,1,Stalking,32.32,Medium,88.52,"28.619399,77.181665 -> 28.613462,77.18255 -> 28.617885,77.184115 -> 28.619932,77.185489 -> 28.619223,77.184331",True,call my father,Relative,Notify selected relative
374,"Market Road, Chennai",Chennai,13.034075,80.263851,Market Road,7,2,8,9,15,5,Harassment,26.93,Low,94.27,"13.033946,80.265109 -> 13.033278,80.261276 -> 13.033767,80.264624",True,help,Help,Trigger emergency alert and share location
375,"Railway Station Road, Bengaluru",Bengaluru,12.948651,77.58635,Railway Station Road,9,4,5,6,37,3,Harassment,32.7,Medium,76.5,"12.951449,77.585614 -> 12.952283,77.590172 -> 12.948448,77.583829",True,mom,Relative,Notify selected relative
376,"Industrial Road, Bengaluru",Bengaluru,12.898594,77.543079,Industrial Road,6,4,0,0,85,2,Stalking,58.98,Medium,38.95,"12.90204,77.543369 -> 12.899568,77.537528 -> 12.895599,77.545297",True,dad,Relative,Notify selected relative
377,"Residential Street, Vijayawada",Vijayawada,16.516237,80.642848,Residential Street,9,2,1,4,82,4,None,48.95,Medium,64.37,"16.520326,80.642295 -> 16.51641,80.643329 -> 16.522217,80.6376 -> 16.517945,80.642561 -> 16.517654,80.641205 -> 16.516115,80.644627",True,call police,Emergency,Trigger emergency alert and share location
378,"Residential Street, Visakhapatnam",Visakhapatnam,17.795752,83.246781,Residential Street,3,1,4,5,86,6,None,55.05,Medium,48.61,"17.794693,83.245647 -> 17.791263,83.245956 -> 17.797584,83.243595 -> 17.798373,83.248 -> 17.793916,83.246427 -> 17.799748,83.248615",True,help,Help,Trigger emergency alert and share location
379,"Main Road, Visakhapatnam",Visakhapatnam,17.687107,83.210181,Main Road,3,3,5,5,56,10,Harassment,42.55,Medium,66.24,"17.685828,83.204919 -> 17.692212,83.210569 -> 17.688102,83.210036 -> 17.685269,83.209716 -> 17.683109,83.215874",True,help,Help,Trigger emergency alert and share location
380,"Market Road, Pune",Pune,18.477192,73.820581,Market Road,2,7,6,7,34,7,Stalking,34.95,Medium,72.34,"18.480412,73.820617 -> 18.474102,73.823717 -> 18.47902,73.821927 -> 18.478981,73.826567 -> 18.482655,73.818864 -> 18.481252,73.821539",True,call my father,Relative,Notify selected relative
381,"Residential Street, Vijayawada",Vijayawada,16.523668,80.588771,Residential Street,3,1,2,1,53,10,Stalking,52.52,Medium,50.73,"16.521636,80.590841 -> 16.526346,80.583585 -> 16.523613,80.591576 -> 16.523201,80.590594 -> 16.524546,80.589625 -> 16.52299,80.58573",True,dad,Relative,Notify selected relative
382,"Park Road, Vijayawada",Vijayawada,16.466946,80.672827,Park Road,6,10,0,10,93,3,None,42.07,Medium,69.83,"16.4666,80.671767 -> 16.466183,80.675444 -> 16.466108,80.669474 -> 16.468805,80.672315 -> 16.467024,80.676846 -> 16.466895,80.67355",True,call my sister,Relative,Notify selected relative
383,"Industrial Road, Delhi",Delhi,28.572638,77.201312,Industrial Road,1,2,4,10,40,1,Assault,50.0,Medium,62.85,"28.56875,77.201814 -> 28.57289,77.201415 -> 28.575231,77.202148 -> 28.576333,77.198828 -> 28.572978,77.201523 -> 28.569965,77.203703 -> 28.57845,77.201269",True,dad,Relative,Notify selected relative
384,"College Road, Bengaluru",Bengaluru,12.989276,77.597558,College Road,9,9,9,1,55,4,Stalking,26.93,Low,81.9,"12.984724,77.595794 -> 12.985796,77.601818 -> 12.988988,77.596693 -> 12.991499,77.594754 -> 12.987359,77.597728 -> 12.991848,77.598812",True,call my mother,Relative,Notify selected relative
385,"Market Road, Delhi",Delhi,28.622591,77.211734,Market Road,9,10,0,0,82,3,Sexual Harassment,43.95,Medium,65.25,"28.623095,77.209159 -> 28.622706,77.20905 -> 28.622794,77.210532 -> 28.628939,77.211634 -> 28.61908,77.211399 -> 28.623889,77.215917 -> 28.621117,77.207778",True,call my sister,Relative,Notify selected relative
386,"Residential Street, Vijayawada",Vijayawada,16.534789,80.599679,Residential Street,8,6,3,5,35,1,Theft,36.93,Medium,72.29,"16.534145,80.599505 -> 16.536512,80.59797 -> 16.534105,80.599643 -> 16.535163,80.599924 -> 16.535879,80.601789 -> 16.535771,80.600813 -> 16.530833,80.599805",True,save me,Help,Trigger emergency alert and share location
387,"Park Road, Delhi",Delhi,28.630683,77.234513,Park Road,4,2,7,7,73,8,Harassment,42.07,Medium,66.07,"28.629035,77.233078 -> 28.632024,77.237098 -> 28.629664,77.236783",True,call my sister,Relative,Notify selected relative
388,"Industrial Road, Hyderabad",Hyderabad,17.389322,78.48235,Industrial Road,1,2,6,6,4,9,Robbery,37.91,Medium,69.03,"17.391189,78.483164 -> 17.395012,78.480219 -> 17.390617,78.481027 -> 17.387149,78.482323 -> 17.389665,78.489645 -> 17.388862,78.479525 -> 17.390005,78.477163",False,none,No Alert,No action
389,"Bus Stop Area, Chennai",Chennai,13.079482,80.271261,Bus Stop Area,8,6,5,0,28,8,Assault,31.27,Medium,81.6,"13.081916,80.270002 -> 13.079105,80.269346 -> 13.076662,80.272036 -> 13.076298,80.270224 -> 13.076994,80.272635",True,mom,Relative,Notify selected relative
390,"College Road, Mumbai",Mumbai,19.13905,72.832144,College Road,8,2,1,10,28,1,Robbery,39.45,Medium,65.18,"19.138738,72.832183 -> 19.139597,72.831028 -> 19.138548,72.833063 -> 19.141651,72.827256 -> 19.138128,72.832679",True,call my mother,Relative,Notify selected relative
391,"College Road, Chennai",Chennai,13.050571,80.331291,College Road,2,1,2,7,17,7,Theft,45.89,Medium,58.44,"13.050468,80.332681 -> 13.049093,80.326675 -> 13.049499,80.333865",True,call police,Emergency,Trigger emergency alert and share location
392,"Residential Street, Bengaluru",Bengaluru,12.959809,77.564975,Residential Street,7,4,7,3,91,6,None,42.2,Medium,73.62,"12.958982,77.5637 -> 12.960183,77.566902 -> 12.965763,77.567043",True,call my father,Relative,Notify selected relative
393,"Industrial Road, Hyderabad",Hyderabad,17.425594,78.468991,Industrial Road,8,10,8,2,63,1,Theft,31.84,Medium,74.83,"17.42575,78.469259 -> 17.422898,78.468553 -> 17.426592,78.469892 -> 17.426855,78.469718 -> 17.424326,78.467706 -> 17.422597,78.473453 -> 17.425628,78.468429",False,none,No Alert,No action
394,"Industrial Road, Delhi",Delhi,28.581392,77.311748,Industrial Road,9,3,9,2,93,3,Stalking,41.16,Medium,66.57,"28.58032,77.312788 -> 28.582893,77.314143 -> 28.585911,77.313013",True,call my father,Relative,Notify selected relative
395,"Park Road, Pune",Pune,18.483439,73.847707,Park Road,7,10,3,4,50,6,Robbery,32.05,Medium,79.39,"18.48861,73.844212 -> 18.486445,73.848157 -> 18.485534,73.847452 -> 18.481333,73.849584 -> 18.485075,73.850137",True,call my sister,Relative,Notify selected relative
396,"Park Road, Vijayawada",Vijayawada,16.505734,80.627006,Park Road,10,9,4,8,40,9,None,18.64,Low,89.17,"16.507782,80.628066 -> 16.50332,80.62566 -> 16.504567,80.623299 -> 16.50369,80.624171",True,save me,Help,Trigger emergency alert and share location
397,"College Road, Chennai",Chennai,13.068263,80.244846,College Road,3,3,8,8,88,6,Theft,44.45,Medium,59.41,"13.073319,80.247977 -> 13.066315,80.245527 -> 13.069307,80.247824",True,call my mother,Relative,Notify selected relative
398,"Railway Station Road, Delhi",Delhi,28.585249,77.247224,Railway Station Road,7,1,8,1,3,7,Stalking,31.84,Medium,75.72,"28.581909,77.249034 -> 28.588476,77.253694 -> 28.58225,77.248971 -> 28.584224,77.249182",False,none,No Alert,No action
399,"Railway Station Road, Bengaluru",Bengaluru,12.920133,77.550403,Railway Station Road,3,5,10,4,18,1,Assault,36.05,Medium,70.28,"12.92033,77.5488 -> 12.921781,77.55297 -> 12.921632,77.55445 -> 12.921173,77.547361 -> 12.923541,77.54889",True,save me,Help,Trigger emergency alert and share location
400,"College Road, Visakhapatnam",Visakhapatnam,17.718665,83.273581,College Road,8,2,9,10,94,9,Harassment,31.77,Medium,88.41,"17.714925,83.271285 -> 17.721972,83.273158 -> 17.718864,83.275478 -> 17.720406,83.274278",True,mom,Relative,Notify selected relative
401,"Main Road, Chennai",Chennai,13.075397,80.259757,Main Road,7,7,6,10,40,9,Assault,22.27,Low,97.62,"13.076781,80.259114 -> 13.078102,80.259434 -> 13.073268,80.25786",False,none,No Alert,No action
402,"Industrial Road, Bengaluru",Bengaluru,12.937344,77.585066,Industrial Road,4,6,9,8,94,10,None,34.5,Medium,84.97,"12.935331,77.585537 -> 12.935702,77.584415 -> 12.933569,77.584515 -> 12.93686,77.586417",True,save me,Help,Trigger emergency alert and share location
403,"Residential Street, Vijayawada",Vijayawada,16.514015,80.606056,Residential Street,3,3,8,1,48,1,Theft,49.0,Medium,63.52,"16.514541,80.606552 -> 16.513992,80.604762 -> 16.51456,80.607245 -> 16.509648,80.604709 -> 16.513378,80.606696 -> 16.516998,80.604127",True,call police,Emergency,Trigger emergency alert and share location
